2019-06-29 17:55:49,952,2019-06-29_15_55_49,INFO,<class 'problems.network.Network'>,296004624,algorithms.genetic_algorithm,24,tournament_selection,one_point_crossover,0.4,bit_flip,0.6
2019-06-29 17:56:21,140,2019-06-29_15_55_49,INFO,0,1847.776535,929886091.2359735,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 485 12 4065 4532 13 4639 4638 4513 3240 17 5243 5246
 5248 3211]
2019-06-29 17:56:45,562,2019-06-29_15_55_49,INFO,1,1847.776535,583209400.3595431,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 485 12 4065 4532 13 4639 4638 4513 3240 17 5243 5246
 5248 3211]
2019-06-29 17:57:24,525,2019-06-29_15_55_49,INFO,2,1612.1821229999994,640882904.1825905,[648 2780 4284 2 8289 4047 1954 314 4458 1960 4459 1958 1959 1543 48 433
 4106 4107 481 482 483 515 516 12 4065 4532 13 4639 14 4640 4644 4647 3380
 4079 8682 15 1969 1968 7749 658 3096 3211]
2019-06-29 17:58:14,343,2019-06-29_15_55_49,INFO,3,1494.709562088736,629599592.0023665,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 483 515 516 12 4065 4532 13 4639 14 4640 4644 4647 3380 4079 4080 15
 1969 1968 7749 658 3096 3211]
2019-06-29 17:58:41,171,2019-06-29_15_55_49,INFO,4,1395.79244059685,443004449.7284681,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080 15 1969 1968
 7749 658 3096 3211]
2019-06-29 17:58:50,592,2019-06-29_15_55_49,INFO,5,1283.7416406349012,281089634.3502905,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 483 515 516 12 4065 4532 13 4639 14 4067 4066 3558 4080 1968 7749 658
 3096 3211]
2019-06-29 17:59:24,534,2019-06-29_15_55_49,INFO,6,1283.7416406349012,546971045.604623,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 483 515 516 12 4065 4532 13 4639 14 4067 4066 3558 4080 1968 7749 658
 3096 3211]
2019-06-29 18:00:04,424,2019-06-29_15_55_49,INFO,7,1283.7416406349012,583209474.0479908,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 483 515 516 12 4065 4532 13 4639 14 4067 4066 3558 4080 1968 7749 658
 3096 3211]
2019-06-29 18:00:45,498,2019-06-29_15_55_49,INFO,8,1264.684850419372,546971077.3076222,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080 1968 7749 658
 3096 3211]
2019-06-29 18:01:14,336,2019-06-29_15_55_49,INFO,9,1264.684850419372,443004469.0042198,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080 1968 7749 658
 3096 3211]
2019-06-29 18:01:51,444,2019-06-29_15_55_49,INFO,10,1264.684850419372,546971071.6371214,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080 1968 7749 658
 3096 3211]
2019-06-29 18:02:16,865,2019-06-29_15_55_49,INFO,11,1235.29111102624,164409415.1866907,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 483 515 516 12 4065 4532 13 4639 14 4067 4066 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:02:36,418,2019-06-29_15_55_49,INFO,12,1235.29111102624,281089620.05275136,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080 1968 7749 658
 3096 3211]
2019-06-29 18:02:58,124,2019-06-29_15_55_49,INFO,13,1194.0399694193723,281089639.5675908,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:03:33,040,2019-06-29_15_55_49,INFO,14,1194.0399694193723,546971109.7414358,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:04:10,712,2019-06-29_15_55_49,INFO,15,1194.0399694193723,500763825.3317937,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
2019-06-29 18:04:34,804,2019-06-29_15_55_49,INFO,16,1194.0399694193723,281089663.21621186,[648 2780 4284 2 8289 4047 1954 314 4458 1960 50 315 297 4282 311 1962
 1963 4225 481 482 483 515 516 12 4065 4532 13 4639 14 4067 3380 4079 4080
 1968 7749 658 3096 3211]
